mint,exit_time_utc,exit_ts,exit_slot,exit_signature,exit_sol,exit_token,first_entry_time_utc,first_entry_ts,hold_s,age_s,pre_trade_count,pre_buy_count,pre_sell_count,pre_sell_ratio,pre_buy_sol,pre_sell_sol,pre_net_flow_sol,position_trade_count,position_buy_sol,position_sell_sol,position_net_flow_sol,last_trade_gap_s,price_return_since_entry,drawdown_from_high,near_high,seconds_from_high,wallet_buy_sol_until_exit,wallet_sell_sol_until_exit,wallet_realized_pnl_until_exit,wallet_realized_roi_until_exit,wallet_tokens_before_exit,wallet_tokens_after_exit,exit_sold_token_ratio,is_full_exit,wallet_position_buy_sol,wallet_position_sell_sol,wallet_position_net_sol,last30_trade_count,last30_buy_count,last30_sell_count,last30_sell_ratio,last30_sol,last30_buy_sol,last30_sell_sol,last30_net_flow_sol,last60_trade_count,last60_buy_count,last60_sell_count,last60_sell_ratio,last60_sol,last60_buy_sol,last60_sell_sol,last60_net_flow_sol
2p5e3sudKx2LtM8iSefaSszMY9nCiHz6CTEASQ9Xpump,2026-05-01 03:14:34 UTC,1777605274,416791668,4NpKi8jxQgTxYCXC9DEqBoC3NxvGiwS2m25Ez7msmzBrsUJrkvHNxtE3HDrLmPU7QbkRBmwPUoPMop4HWt9njBmA,0.256228141,713937.102194,2026-05-01 03:13:59 UTC,1777605239,35,39,571,338,233,0.4080560420315236,206.98550802600002,118.94628339200003,88.03922463399999,550,189.35056054199993,114.49712318700006,74.85343735499987,0,5.332877870786772,-0.5203899393698637,0.4796100606301363,9,0.103118413,0.411788588,0.308670175,2.9933565308069663,713937.102194,0.0,1.0,True,0.103118413,0.411788588,0.308670175,476,273,203,0.4264705882352941,251.86224496500006,154.81819080799994,97.04405415700012,57.77413665099982,571,338,233,0.4080560420315236,325.93179141800005,206.98550802600002,118.94628339200003,88.03922463399999
BxKa6y8u8gE7Tr38enZFvEEtLrh9T52vYyBMpBg6pump,2026-05-01 03:14:46 UTC,1777605286,416791700,3cZT5TQnBjazZ3bwKjVd45BfMqLHeCD6ga7ZXhxxzuHpmNu8LRgU1p1YEdfFMdbWq4RzZSbT4x54V3jou7SLCzE6,0.525129468,9876093.494653,2026-05-01 03:14:34 UTC,1777605274,12,23,67,47,20,0.29850746268656714,22.620117615999998,10.582982766,12.037134849999997,20,6.281713367,3.725661984,2.5560513830000002,0,-0.06979649436101887,-0.15354156587511059,0.8464584341248894,12,0.537728971,0.525129468,-0.0125995029999999,-0.023430954401748055,9876093.494653,0.0,1.0,True,0.537728971,0.525129468,-0.0125995029999999,67,47,20,0.29850746268656714,33.203100382,22.620117615999998,10.582982766,12.037134849999997,67,47,20,0.29850746268656714,33.203100382,22.620117615999998,10.582982766,12.037134849999997
D1fkaTddRLpVr3hQEQqdJiozjSeuDzoQKgfdm55Bpump,2026-05-01 03:16:41 UTC,1777605401,416791995,m6VjqawZTUtjifRqXKMmroEpdrZmMqvSjaSbAcQ6Wx3rVwzrWhCJtW9xhYpg5cFceNJsyRPU1Y7UzcDwEx8Ts9D,0.688440995,10687428.468431,2026-05-01 03:15:52 UTC,1777605352,49,50,118,74,44,0.3728813559322034,52.79237530999999,36.90453203799999,15.887843271999998,110,44.374475858999986,36.90453203799999,7.469943820999994,0,1.0380399922093102,-0.33004718187721915,0.6699528181227808,16,0.570757998,0.688440995,0.11768299699999996,0.20618720615808164,10687428.468431,0.0,1.0,True,0.570757998,0.688440995,0.11768299699999996,26,9,17,0.6538461538461539,21.154506692000002,4.39526167,16.759245022,-12.363983352000002,118,74,44,0.3728813559322034,89.69690734799998,52.79237530999999,36.90453203799999,15.887843271999998
He7815qydm2nqixRqfyo1hzTWDQSBjzPg5k8vdwKpump,2026-05-01 03:19:10 UTC,1777605550,416792370,3AwMi3CoVme6eyz94ULF7ZNhgCzVkAux5GeScZFFATQ8ZnPiKe7P61EEFQiXUetsLfNyCWoM4FoN9C92gphw8Spg,0.776754492,12724522.691346,2026-05-01 03:17:44 UTC,1777605464,86,317,41,35,6,0.14634146341463414,11.358533627,1.64714734,9.711386287,23,6.5620742409999995,1.486101806,5.075972435,31,0.5174712819403275,-0.04303572442591386,0.9569642755740861,57,0.509594308,0.776754492,0.26716018399999997,0.5242605339304535,12724522.691346,0.0,1.0,True,0.509594308,0.776754492,0.26716018399999997,0,0,0,,0,0,0,0,3,1,2,0.6666666666666666,1.429768632,0.702279081,0.727489551,-0.025210469999999985
73it2iUF8hgE2S9X9fKkx2SA3a5B8oNhjPDPkvmApump,2026-05-01 03:18:47 UTC,1777605527,416792314,35f5cSZpCTraWiZTC7cCbZbyJXQ7ie1P79gqvMY8BE32vbrpAUKHurszDhymKh6SnDJQHvzcr3jncHuLP3MKU8y9,0.553462534,14753351.985674,2026-05-01 03:18:39 UTC,1777605519,8,60,20,15,5,0.25,9.646498784999999,2.1278407529999996,7.518658031999999,8,5.545316793,0,5.545316793,8,0.32589778808722847,0.0,1.0,8,0.544970693,0.553462534,0.008491841,0.015582197554979346,14753351.985674,0.0,1.0,True,0.544970693,0.553462534,0.008491841,8,8,0,0.0,5.545316793,5.545316793,0,5.545316793,20,15,5,0.25,11.774339537999998,9.646498784999999,2.1278407529999996,7.518658031999999
EJV2ACyuaUv9ic8AjMLwazu58dGZKDZ7YvKXfEuNpump,2026-05-01 03:20:01 UTC,1777605601,416792495,3Ze2VNDpqG8S4rabTNadGiWu1v2kTHeZLDnrhv7DFyJm1qt4no2J5Q7he1zjXsc8EX69gG2P1Npt5zrsnjTP7Kbu,0.949412993,10126949.536466,2026-05-01 03:19:07 UTC,1777605547,54,87,186,125,61,0.3279569892473118,67.83221481199998,39.770705157,28.061509654999973,102,33.23164826400001,16.065146335,17.166501929000006,0,0.7561310300707544,-0.36275059132385556,0.6372494086761444,23,0.509594308,0.949412993,0.439818685,0.8630761334955883,10126949.536466,0.0,1.0,True,0.509594308,0.949412993,0.439818685,38,16,22,0.5789473684210527,21.257390861000005,8.131478584000002,13.125912277000003,-4.994433693000001,114,72,42,0.3684210526315789,57.352643173,33.883356964,23.469286208999996,10.414070755000004
EdHbom9R3qUw6zJ2F8WNGuvHQZSHbxaEhRRYvaLApump,2026-05-01 03:20:14 UTC,1777605614,416792527,5JxB5Gr9CpmWBd2WabkM4TwzwuxMds1tKRhXnYek751Uxva75xNmh4R1i1UWdbnrZVWP6WSLjdobdzUKocjChb2W,0.105185656,1482988.143847,2026-05-01 03:19:41 UTC,1777605581,33,50,136,89,47,0.34558823529411764,47.51865771399998,28.466321679999997,19.052336033999982,94,29.776432366000005,19.881773813000006,9.894658553,0,0.29855847205786135,-0.36003241106266914,0.6399675889373309,17,0.103009039,0.105185656,0.0021766170000000057,0.02113034954146117,1482988.143847,0.0,1.0,True,0.103009039,0.105185656,0.0021766170000000057,67,35,32,0.47761194029850745,36.56180835800001,17.649000206000004,18.912808152000004,-1.263807946,136,89,47,0.34558823529411764,75.98497939399998,47.51865771399998,28.466321679999997,19.052336033999982
EQALo55E16Vx3wuCfDEEahcfN3KXgZpy8aryt6sMpump,2026-05-01 03:21:57 UTC,1777605717,416792784,4vt4hYa7bdpLYEJ2rL4jTH9iuDjJENokGWM4eNBcesJHPTHCLR52jmGEqJApvzA42RkAVAR7iJdQfTf8krWxQQ9H,0.090260702,1448574.334056,2026-05-01 03:21:20 UTC,1777605680,37,48,131,87,44,0.33587786259541985,42.788758881000014,25.927250895999993,16.86150798500002,91,23.87544515000001,16.875795709,6.999649441000013,0,0.2332109577751189,-0.2673152299929552,0.7326847700070448,5,0.103060361,0.090260702,-0.012799659000000005,-0.12419575165276206,1448574.334056,0.0,1.0,True,0.103060361,0.090260702,-0.012799659000000005,39,25,14,0.358974358974359,12.743310646999998,6.971595598999999,5.771715047999999,1.1998805509999997,131,87,44,0.33587786259541985,68.71600977700001,42.788758881000014,25.927250895999993,16.86150798500002
C5s1X3a2rCgaF1hudfRSwHgvV3y4wiLfdPfc9ZKtpump,2026-05-01 03:23:02 UTC,1777605782,416792950,5GPYmqauBsf6SFt8s9WzpQwZ3skyMHXC4y95QrxmrgiAuBhagx2kxHpWFNuGds4cAwfHs3iGTahW9FuF7Zd11o5d,0.541664143,14144114.300419,2026-05-01 03:21:57 UTC,1777605717,65,76,26,17,9,0.34615384615384615,8.603492551,3.747354404,4.856138147,11,4.335357609,1.6482430350000001,2.6871145739999998,0,0.08718063136765375,-0.11274716168535537,0.8872528383146446,20,0.510410663,0.541664143,0.031253479999999945,0.061232027983709934,14144114.300419,0.0,1.0,True,0.510410663,0.541664143,0.031253479999999945,6,3,3,0.5,3.552966576,1.9047235409999999,1.6482430350000001,0.2564805059999997,8,5,3,0.375,4.499981931,2.8517388959999996,1.6482430350000001,1.2034958609999995
7DxqaCF6mnPvTuWQJjt3Gn4yjvpXE6ysjxDpdmwxpump,2026-05-01 03:25:43 UTC,1777605943,416793363,4cL5yBqmNUgA69K6BCoPbUzzMzRLN76hV8jAff95JQLF4SyP2x3SJn5cwwfD1CWC4MrVZ2GsUrPVmUrcA4coyDWA,0.455127091,4974788.482591,2026-05-01 03:25:20 UTC,1777605920,23,46,233,167,66,0.2832618025751073,89.61884839999998,61.156387564999996,28.46246083499998,101,23.403793278999995,24.930250264999998,-1.526456986000003,0,-0.1421442726170845,-0.6117006420091559,0.38829935799084414,14,0.534466564,0.455127091,-0.07933947300000005,-0.14844609250430124,4974788.482591,0.0,1.0,True,0.534466564,0.455127091,-0.07933947300000005,114,86,28,0.24561403508771928,59.768715326999995,28.427019297999998,31.341696028999994,-2.9146767309999966,233,167,66,0.2832618025751073,150.77523596499998,89.61884839999998,61.156387564999996,28.46246083499998
